	C16-20002-TZ	C16-20003-TZ	C16-20005-TZ	C16-20070-TZ	C16-20071-TZ	C16-20072-TZ	C16-20073-TZ	C16-20117-TZ	C16-20118-TZ	C16-20119-TZ	C16-20123-TZ	C16-20135-TZ	C16-20152-TZ	C16-20153-TZ	C16-20197-TZ	C16-20198-TZ	C16-20211-TZ	C16-20212-TZ	C16-20215-TZ	C16-20237-TZ	C16-20238-TZ	C16-20246-TZ	C16-20247-TZ	C16-20248-TZ	C16-20340-TZ	C16-20341-TZ	C16-20345-TZ	C16-20346-TZ	C16-20347-TZ	C16-20371-TZ	C16-20372-TZ	C16-20373-TZ	C16-20374-TZ	C16-20415-TZ	C16-20416-TZ	C16-20417-TZ	C16-20437-TZ	C16-20438-TZ	C16-20439-TZ	C16-20440-TZ	C16-20441-TZ	C16-20470-TZ	C16-20471-TZ	C16-20473-TZ	C16-20474-TZ	C16-20475-TZ	C16-20491-TZ	C16-20492-TZ	C16-20493-TZ	C16-20494-TZ	C16-20548-TZ	C16-20549-TZ	C16-20550-TZ	C16-20551-TZ	C16-20554-TZ	C16-20557-TZ	C16-20558-TZ	C16-20625-TZ	C16-20626-TZ	C16-20627-TZ	C16-20645-TZ	C16-20646-TZ	C16-20647-TZ	C16-20648-TZ	C16-20649-TZ	C16-20650-TZ	C16-20651-TZ	C16-20652-TZ
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Micrococcaceae|g__Rothia|s__Rothia_mucilaginosa	0.00124	0.07415	0	0.00165	0	0	0	0	0.00411	0	0	0	0.32841	0.01281	0	0	0	0.00388	0.01315	0.0527	0.04923	0.02058	0	0	0	0.01349	0	0	0.02673	0.05788	0.00815	0	0	0.00664	0	0	0	0.01339	0	0.01963	0.20314	0.00889	0	0	0	0.09401	0.00074	0.01057	0	0.00212	0	0	0	0.00592	0	0	0	0.02122	0.04449	0.00123	0.00035	0	0.01678	0	0.04763	0.01763	0	0.06865
k__Bacteria|p__Firmicutes|c__Negativicutes|o__Selenomonadales|f__Veillonellaceae|g__Megamonas|s__Megamonas_rupellensis	0.00101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01062	0	0	0	0	0	0	0	0	0	0	0.03517	0	0	0	0	0	0	0	0.00068	0.07755	0	0	0	0	0	0	0	0	0	0	0	0.02159	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Propionibacteriaceae|g__Propionibacterium|s__Propionibacterium_acnes	0.00047	0.00196	0	0	0	0	0	0.00081	0.031	0.0127	0.00542	0.0087	0	0.13389	0.00992	0	0	0.0711	0	0.0249	0.12002	0.04258	0.01018	0	0	0.00345	0.00245	0.00809	0.00423	0	0.00729	0	0	0	0	0	0	0	0	0	0	0	0.00539	0	0	0	0	0.00189	0	0	0.01065	0.00179	0	0	0	0.00053	0.01393	0	0	0	0	0	0	0	0	0	0	0.00483
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_cellulosilyticus	0.00041	0	0	0.1789	0	0	0	6.05277	0	0	9.38743	2.11793	0.10178	0.01893	0	0	0	0	0	0	0	0	0	0	0	0.02511	0	0	0.37368	0	0	0	0	0	0	0	0.37908	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.05784	0	0	0.05456	0	0	0	0	0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_catenulatum	0.00033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00036	0	0	0	0	0	0	0	0	0	0	0	0	0.73323	0	0	0	0	0	0	0	0	0	0	0.81567	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii|t__GCF_000209875	42.64379	17.47177	0.01304	0	4.36956	15.1989	0.02712	0.81206	0	0.02155	0	0.00654	0.9696	0	6.32449	1.3034	4.38042	0.45671	2.43483	0.7857	1.12564	1.98347	0.06145	0.27388	4.28475	0.78661	0.38687	0	6.85598	3.36774	0	2.92617	9.21142	0	0	0.01361	1.60844	1.17651	0	3.03902	0.78782	0.51129	1.54379	0	10.57554	2.60015	0	0	0.02929	2.32519	2.34525	0.33659	1.94095	1.92081	2.85705	0	0.35414	0	0	0.00935	0.49274	1.50031	0.44296	3.20361	1.82409	0.62677	0	0.6161
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_rectale|t__Eubacterium_rectale_unclassified	9.70032	3.85114	30.82681	8.10621	0.1298	3.0847	35.99936	0.10353	0.34088	2.09485	0.31455	0	4.88025	13.28709	2.24597	0.90163	2.30468	1.92105	0.98209	6.31099	15.34533	5.10008	2.2515	7.59818	0.23487	12.55649	5.4817	0.46734	0.00087	20.77105	0.95395	19.22452	19.23959	0	20.77467	5.7334	21.27869	1.40161	2.88802	4.17999	5.20081	12.4064	1.02594	0.25845	2.16795	0.00361	0	0	2.22777	20.36166	29.18494	27.01102	7.07681	5.65615	16.41722	0	29.4519	0.95947	11.35661	1.56551	0.28862	2.77314	8.2917	5.59613	2.94079	6.95974	0	7.16661
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii|t__Faecalibacterium_prausnitzii_unclassified	9.60029	6.987	3.48835	4.17786	14.69261	4.44131	0.06217	1.34136	11.63507	1.68746	3.17027	1.3604	0.9874	2.00929	4.31271	4.21099	14.57637	5.81637	2.46025	9.06224	21.1377	7.83649	4.43523	8.63058	1.24228	0.58941	8.58299	2.3056	18.71555	6.09446	4.64076	7.73175	9.91242	0.00996	7.0848	1.97161	4.60183	9.16372	2.87668	4.34104	8.45772	3.64129	6.12155	1.77997	5.6548	2.6044	0.2892	0	1.96971	6.15145	3.99822	7.24959	4.39465	3.44402	1.14371	0.49516	5.52305	6.0734	6.22377	9.79221	9.027	9.53363	12.40801	10.07942	12.41685	10.47324	1.93542	13.46576
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum|t__Bifidobacterium_longum_unclassified	7.72245	0	0	0.54125	0	0.136	0	0	0.21314	0	0.20226	2.47878	0	0.01776	0.24788	0	0	0	0	0	0	2.66666	0.25706	1.10853	5.1264	0.30235	0	0	0.16112	0	0.11952	0	0	0.12149	0.48424	0.44386	0.03875	0	0	0	0	0	1.01623	0	0.50115	0.02289	0	4.48474	0	0	0	0	0	0	0.19583	0.42423	0	0	0	1.61092	0	0	0	0	0	0	0.47239	0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_copri|t__GCF_000157935	4.87489	35.60627	16.12186	28.04979	3.18738	35.36027	41.87673	2.17527	70.56452	42.91797	0.00216	0	23.45181	18.61889	43.54844	2.04828	23.33343	17.20678	38.61742	45.50032	31.13011	0.2744	69.00534	1.07913	0	32.49773	2.86785	46.99839	0.00918	26.59762	45.5866	11.05025	17.81182	0.01182	43.74672	73.99625	24.78656	29.92694	28.69084	37.92267	45.101	44.60995	8.53481	2.00392	7.22066	68.4812	0.14111	0	35.57069	48.18686	41.55489	41.96862	21.36371	56.00892	0.37852	7.06728	33.44619	46.78575	34.34137	16.22055	39.87718	43.94005	11.7132	26.03674	32.54296	18.91591	25.44103	18.68617
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena|t__GCF_000154065	3.88548	0.61032	0.37424	0	0.04336	0.16455	0.64758	0.04478	0.05226	0.11077	0	0.4426	1.29773	0.182	0.59346	0.29401	0.29747	0.13002	0.4994	0.3207	0.12734	0.08276	0.224	0.22106	0.22982	0.10719	0.75659	0.05666	0.21825	0.19781	4.82637	0.4787	0.61887	0	0.18293	0.00796	0.1761	0.52717	0.14474	0.34986	0.11992	0.04434	0.13889	0.01218	1.01562	0.02416	0	0	0.02471	0.03604	0.98721	0.07584	0.35169	0.24536	0.41458	0	0.44505	0.13069	0.26865	1.05093	0.03851	0.38802	0.97843	0.48036	0.22117	0.73568	0.20264	0.24714
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacteriales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli|t__Escherichia_coli_unclassified	2.89967	0.12785	8.54698	0.76738	0.31809	0	3.51752	0.10911	0.05285	0.82488	0	0	3.78315	6.00454	0.59971	4.81303	0.5665	0.08779	2.75352	0	0.00627	0.4281	0	1.48366	0.08566	8.88334	0.29377	0	0.67068	0.11922	2.97354	0.65947	0.79485	15.06199	0.23225	2.00398	0.05713	2.14392	0.29671	0.49971	0.0585	0.22947	0.66266	5.35323	1.22867	0.29364	45.24909	20.12549	10.42329	0.75241	0.05241	0.06838	0	1.23163	0.08003	10.31786	0.20689	0.05841	0.28778	0.72466	0.32156	1.28657	0.6319	0.05336	0.12392	0.07188	5.63276	0.03145
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus|t__Bacteroides_vulgatus_unclassified	2.66957	0.22104	0.73147	4.17679	0.09393	0.38748	0.22405	0.96883	0.09572	1.34915	2.21041	9.06783	0.96192	3.18127	0.0265	2.58478	0.1385	0	0.91758	0	0	17.98835	1.13115	4.81098	0	5.12537	13.20437	0.17647	0.00686	0	0	0	0	0	0.29134	0.99146	1.28067	0.06395	0.5372	0	0.00835	0.05336	5.2028	0.48541	0.3316	0.20846	0	0	0	0.08608	0	0.00652	0	0.16949	1.24648	4.63005	0.36	0	0	13.7388	0	0.134	0.04885	0	0	0	0.45962	0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum|t__Eubacterium_siraeum_unclassified	2.56663	3.65596	0	0.67324	3.78621	0	0.07633	4.44407	0	0.07723	0	0	0.61958	1.95342	4.63174	1.03349	1.84286	0.08133	0.0558	0.23037	1.50656	0.13687	0	0.09726	1.09164	0	0.58215	0	2.69561	0	0	0.28541	0	0	0.50068	0	4.73347	0.22676	0.04087	0.01144	0.44269	0.01447	0	0.20946	8.66642	0	0	0	0	0.00163	0.13279	0.27327	0.13637	0	0.19307	0	0	1.19502	0	0	16.16518	0.20699	0.2266	0.02101	3.71713	0.00589	0	0.4613
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_coprophilus|t__GCF_000157915	2.28187	0	0	0	0	0	0	0.05665	0	0	0	0	0	0	0	0	0	0	0	0	0	2.41642	0	3.79348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parainfluenzae|t__Haemophilus_parainfluenzae_unclassified	1.91511	0.70922	0.02344	5.2771	0	0.19074	0.00987	0.5256	0.10338	0.20602	0.88053	3.10708	0.25092	1.73872	0	0.26211	0.00227	14.46052	0.25672	0.44002	1.00231	1.0961	0.01447	2.36321	0	4.40204	0	0.10394	1.04198	1.11045	3.90175	0.35101	0.23815	0	0.10752	0.55168	0.01507	0.06273	0.06023	0.64312	0.47071	0.31213	0.21778	0	0.00049	0.77687	0.4171	0	0.16797	0.21131	0.07667	1.48228	0.32693	0.50861	0	0.19398	0.05318	0.83021	2.04787	0	0.0804	0.02046	0	0.00752	0.23209	0.16344	0	0.1205
